Company,Strategy,Investment Approach,AUM (INR Cr.),1 Month,3 Month,6 Month,1 Year,2 Year,3 Year,4 Year,5 Year,Since Inception
ABCHLOR INVESTMENTS PRIVATE LIMITED INP000004904,EQUITY,,,,,,,,,,,
ABCHLOR INVESTMENTS PRIVATE LIMITED INP000004904,EQUITY,Abchlor Portfolio Management Service,129.23569,-6.49,-12.78,-15.76,-50.34,10.23,-0.17,25.39,26.21,11.8
ABCHLOR INVESTMENTS PRIVATE LIMITED INP000004904,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,16.02
MO Alternate Investment Advisors Private Limited INP000004920,EQUITY,,,,,,,,,,,
MO Alternate Investment Advisors Private Limited INP000004920,EQUITY,MOPE PMS I,224.2755,3.44,6.21,6.21,9.36,10.16,7.72,4.71,5.15,4.02
MO Alternate Investment Advisors Private Limited INP000004920,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,4.81,8.33,5.32,19.63,16.21,13.11,13,14.53
Basant Maheshwari Wealth Advisers LLP INP000004946,EQUITY,,,,,,,,,,,
Basant Maheshwari Wealth Advisers LLP INP000004946,EQUITY,BM LEGACY BUILDERS,22.31,1.95,1.12,3.57,0,0,0,0,0,1.06
Basant Maheshwari Wealth Advisers LLP INP000004946,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,0,0,0,0,0,10.03
Basant Maheshwari Wealth Advisers LLP INP000004946,EQUITY,BMW Multi Cap Fund,283.28,3.74,0.16,2.49,-12.8,7.54,8.31,-0.63,13.06,13.35
Basant Maheshwari Wealth Advisers LLP INP000004946,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,16.82
M/s JHP Securities Private Limited INP000004953,EQUITY,,,,,,,,,,,
M/s JHP Securities Private Limited INP000004953,EQUITY,INCREDIBLE INDIA,112.0341,2.75,-0.75,13.91,-6.1,18.82,22.44,21.11,26.82,14.09
M/s JHP Securities Private Limited INP000004953,EQUITY,Benchmark: BSE-500 INDEX,,4.2,3.42,7.43,4.13,18.24,14.8,11.59,19.58,13.84
M/s JHP Securities Private Limited INP000004953,EQUITY,INDIA PORTFOLIO BUILDER,8.42442,4.61,6.41,16.51,9.18,14.82,14.75,14.03,19.86,10.85
M/s JHP Securities Private Limited INP000004953,EQUITY,Benchmark: BSE-500 INDEX,,4.2,3.42,7.43,4.13,18.24,14.8,11.59,19.58,13.58
M/s JHP Securities Private Limited INP000004953,EQUITY,INDIA SUPER FOCUS,0.84561,3.33,-0.16,15.9,-5.65,17.12,23.08,17.69,23.89,9.62
M/s JHP Securities Private Limited INP000004953,EQUITY,Benchmark: BSE-500 INDEX,,4.2,3.42,7.43,4.13,18.24,14.8,11.59,19.58,13.58
M/s JHP Securities Private Limited INP000004953,EQUITY,THE GREAT INDIA OPPORTUNITY,1.51046,2.96,-1.29,14.88,-6.2,16.1,21.5,20.08,26.24,10.99
M/s JHP Securities Private Limited INP000004953,EQUITY,Benchmark: BSE-500 INDEX,,4.2,3.42,7.43,4.13,18.24,14.8,11.59,19.58,13.58
Solidarity Advisors Private Limited INP000004961,EQUITY,,,,,,,,,,,
Solidarity Advisors Private Limited INP000004961,EQUITY,EMERGING LEADERS,89.5,-1.19,-5.24,2.06,-4.29,8.91,0,0,0,10.27
Solidarity Advisors Private Limited INP000004961,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,0,0,0,20.98
Solidarity Advisors Private Limited INP000004961,EQUITY,PRUDENCE,1612.69,1.46,-0.12,6.41,7.31,13.71,10.95,7.66,17.32,16.82
Solidarity Advisors Private Limited INP000004961,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.79
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,,,,,,,,,,,
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,ALPHA EQUITY,28.17826,-0.34,1.38,13.42,2.49,27.29,27.7,22.24,25.81,15.07
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.68
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,BUSINESS LEADER,31.33406,0.16,-3.76,7.91,1.81,17,14.04,0,0,14.4
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,16.2,0,0,18.99
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,DYNAMIC BUSINESS LEADER,120.27918,0.18,-2.15,5.12,2.3,12.61,10.96,0,0,9.74
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,16.2,0,0,15.48
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,DYNAMIC HIGH GROWTH,245.43263,3.34,1.12,8.14,-2.5,12.01,0,0,0,11.84
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,0,0,0,16.78
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,HIGH GROWTH FUND,73.06453,5.02,1.41,11.39,-6.16,16.46,15.24,9.99,22.95,16.47
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.66
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,INDIA EQUITY,30.57152,-1.75,-0.43,6.66,-2.3,21.7,21.6,15.99,17.54,12.48
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.68
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,INNOVATIVE BUSINESS,9.28868,-2.13,-0.84,8.28,-2.17,22.98,22.12,16.97,20.69,13.69
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.68
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,STRATEGIC EQUITY,1249.00316,-1.63,-1.49,6.92,-1.29,22.48,22.29,17.31,21.32,12.93
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.86
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,WONDER CO.,47.0234,4.47,2.26,8.59,-2.19,23.14,21.83,16.6,21.73,14.4
Jain Investment Advisors Pvt. Ltd INP000004979,EQUITY,Benchmark: S and P BSE 500 (TRI),,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.68
Sameeksha Capital Private Limited INP000004995,EQUITY,,,,,,,,,,,
Sameeksha Capital Private Limited INP000004995,EQUITY,SAMEEKSHA IND EQUITY FUND,1177.59329,2.71,-0.13,8.57,5.61,21.27,27.11,18.76,27.81,22.13
Sameeksha Capital Private Limited INP000004995,EQUITY,Benchmark: S and P BSE 500 Total Return Index,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,16.22
Sameeksha Capital Private Limited INP000004995,EQUITY,Sameeksha India Long Horizon Fund,0,0,0,0,-8.88,6.44,0,0,0,6.18
Sameeksha Capital Private Limited INP000004995,EQUITY,Benchmark: S and P BSE 500 Total Return Index,,4.27,3.72,8.33,5.32,19.63,0,0,0,17.36
Buoyant Capital Private Limited INP000005000,EQUITY,,,,,,,,,,,
Buoyant Capital Private Limited INP000005000,EQUITY,Buoyant Opportunities PMS,6954.07,5.5,4.8,13.88,15.22,21.85,24.86,19.26,33.2,22.18
Buoyant Capital Private Limited INP000005000,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.52
Ambit Investment Advisors Private Limited INP000005059,EQUITY,,,,,,,,,,,
Ambit Investment Advisors Private Limited INP000005059,EQUITY,AMBIT COFFEE CAN PORTFOLIO,1260.81,0.27,0.92,5.3,7.4,17.69,11.55,8.82,14.3,14.5
Ambit Investment Advisors Private Limited INP000005059,EQUITY,Benchmark: NIFTY 50 TRI,,4.62,4.15,6.69,7.59,17.53,13.91,11.17,18.58,13.81
Ambit Investment Advisors Private Limited INP000005059,EQUITY,AMBIT CURATED PORTFOLIO,107.8,5.59,0.83,8.91,-6.8,9.9,10.03,6.53,13.26,15.23
Ambit Investment Advisors Private Limited INP000005059,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.64,16.21,13,21.06,20.3
Ambit Investment Advisors Private Limited INP000005059,EQUITY,AMBIT EMERGING GIANTS SMALL CAP PORTFOLIO,160.59,1.44,-6.32,7.84,-16.86,-3.7,3.42,4.51,14.26,11.53
Ambit Investment Advisors Private Limited INP000005059,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.64,16.21,13,21.06,14.04
Ambit Investment Advisors Private Limited INP000005059,EQUITY,AMBIT GOOD and CLEAN MIDCAP PORTFOLIO,437.96,4.22,1.44,3.62,-6.89,14.65,14.25,10.36,17.23,12.41
Ambit Investment Advisors Private Limited INP000005059,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.64,16.21,13,21.06,13.27
Ambit Investment Advisors Private Limited INP000005059,EQUITY,AMBIT GOOD and CLEAN MULTI CAP PORTFOLIO,6.82,0.99,-0.1,3.88,0.88,10.69,8.22,7.08,14.61,14.22
Ambit Investment Advisors Private Limited INP000005059,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.64,16.21,13,21.06,20.9
Ambit Investment Advisors Private Limited INP000005059,EQUITY,AMBIT MICRO MARVELS PORTFOLIO,364.75,0.25,-8.5,7.97,-12.06,0,0,0,0,-10.78
Ambit Investment Advisors Private Limited INP000005059,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,2.06
Ambit Investment Advisors Private Limited INP000005059,EQUITY,AMBIT TENX PORTFOLIO,99.93,2.91,-2.66,4.25,-13.17,3.7,7.5,0,0,6.93
Ambit Investment Advisors Private Limited INP000005059,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.64,16.21,0,0,13.29
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,,,,,,,,,,,
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Sanctum FinEdge,0,0,0,0,0,3.26,4.64,2.89,0,3.64
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Benchmark: BSE500TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,0,14.36
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Sanctum Global Allocator,1.12,1.54,10.26,26.64,26.48,25.28,18.74,6.73,11.03,11.43
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Benchmark: NIFTY50TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,14.83
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Sanctum Indian Olympians,70.33,5.07,4.64,8.74,8.55,15.31,10.8,8.31,14.28,11.72
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Benchmark: NIFTY50TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,13.93
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Sanctum Indian Titans,179.59,3.84,2.34,8.46,3.11,14.01,11.35,8.32,17.33,13.66
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Benchmark: BSE500TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,16.1
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Sanctum Multi Asset Portfolios - Generation Plus,18.4,3.7,2.56,0,0,0,0,0,0,1.21
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Benchmark: BSE500TRI,,4.27,3.72,0,0,0,0,0,0,2.21
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Sanctum Thematic Strategies - Sanctum Select Series 1,4,3.03,0,0,0,0,0,0,0,-0.53
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Benchmark: BSE500TRI,,4.27,0,0,0,0,0,0,0,4.81
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Tailored Discretionary Portfolio - Aggressive,102.38,2.92,1.03,8.38,-1.77,16.51,11.91,8.85,16.31,11.88
SANCTUM WEALTH PRIVATE LIMITED INP000005067,EQUITY,Benchmark: BSE500TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.27
QED CAPITAL ADVISORS LLP INP000005075,EQUITY,,,,,,,,,,,
QED CAPITAL ADVISORS LLP INP000005075,EQUITY,QED CAPITAL - ALPHA-BETS,19.89848,4.39,4.55,9.98,-7.07,16.07,17.34,11.91,17,12.2
QED CAPITAL ADVISORS LLP INP000005075,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.46
QED CAPITAL ADVISORS LLP INP000005075,EQUITY,QED CAPITAL CORE-EQUITY,10.389,2.98,4.4,6.71,-5.29,14.31,11.5,0,0,11.61
QED CAPITAL ADVISORS LLP INP000005075,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,0,0,16.29
MARFATIA STOCK BROKING PRIVATE LIMITED INP000005117,EQUITY,,,,,,,,,,,
MARFATIA STOCK BROKING PRIVATE LIMITED INP000005117,EQUITY,ALLWEATHER,87.73,6.16,0,0,5.03,0,0,0,0,0
MARFATIA STOCK BROKING PRIVATE LIMITED INP000005117,EQUITY,Benchmark: BSE500,,4.2,0,0,4.9,0,0,0,0,0
VALENTIS ADVISORS PRIVATE LIMITED INP000005125,EQUITY,,,,,,,,,,,
VALENTIS ADVISORS PRIVATE LIMITED INP000005125,EQUITY,Valentis Multicap Fund,366.92519,3.42,1.3,7.34,-9.14,12.06,15.09,11.66,21.94,18.65
VALENTIS ADVISORS PRIVATE LIMITED INP000005125,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,16.64
VALENTIS ADVISORS PRIVATE LIMITED INP000005125,EQUITY,VALENTIS RISING STAR OPPORTUNITY FUND,968.83556,3.43,3.01,13.37,-10.52,11.13,17.08,13.42,30.86,17.58
VALENTIS ADVISORS PRIVATE LIMITED INP000005125,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.01
TCG Advisory Services Private Limited INP000005133,EQUITY,,,,,,,,,,,
TCG Advisory Services Private Limited INP000005133,EQUITY,TCG All Cap Opportunities Portfolio,5.56,5.21,0,0,0,0,0,0,0,2.49
TCG Advisory Services Private Limited INP000005133,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,0,0,0,0,0,0,0,2.26
TCG Advisory Services Private Limited INP000005133,EQUITY,TCG India Investment Opportunities Portfolio,1.08,3.66,1.29,13.68,0,0,0,0,0,3.87
TCG Advisory Services Private Limited INP000005133,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,0,0,0,0,0,8.54
TCG Advisory Services Private Limited INP000005133,EQUITY,TCG Transformative Growth Portfolio,100.44,2.63,-0.56,6.42,3.75,0,0,0,0,2.1
TCG Advisory Services Private Limited INP000005133,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,1.21
TCG Advisory Services Private Limited INP000005133,EQUITY,TCGPMS01,5.84,4.11,1.72,6.12,-3.51,17.55,15.23,10.35,18.65,14.04
TCG Advisory Services Private Limited INP000005133,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,17.02
Old Bridge Capital Management Pvt. Ltd. INP000005174,EQUITY,,,,,,,,,,,
Old Bridge Capital Management Pvt. Ltd. INP000005174,EQUITY,All Cap Strategy,1271.64459,4.62,4.19,5.04,-1.12,20.2,21.4,13.79,25.58,16.74
Old Bridge Capital Management Pvt. Ltd. INP000005174,EQUITY,Benchmark: BSE500TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.93
2POINT2 CAPITAL ADVISORS LLP INP000005190,EQUITY,,,,,,,,,,,
2POINT2 CAPITAL ADVISORS LLP INP000005190,EQUITY,2POINT2 Long Term Value Fund,1730.45,6.53,3.05,13.39,15.76,19.76,25.09,18.58,25.81,20.56
2POINT2 CAPITAL ADVISORS LLP INP000005190,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.64,16.21,13,21.06,15.06
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,,,,,,,,,,,
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Bay Capital Customized Concentrated Portfolio,11.45,4.9,3.72,23.37,14.54,0,0,0,0,13.87
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,0,0,0,0,3.87
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Bay Capital India First Portfolio,7.86,5.21,5.91,13.09,13.49,24.04,0,0,0,25.46
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,0,0,0,15.45
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Bay Capital PBH,85,0,0,0,0,0,0,0,0,0
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Benchmark: Nifty 50 TRI,,4.62,0,0,0,0,0,0,0,4.93
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Bay Capital Quant Edge Portfolio,0.77,5.3,4.75,14.63,0,0,0,0,0,-7.14
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,0,0,0,0,0,7.23
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Bay India Opportunities Portfolio,105.79,4.02,4.74,12.39,5.95,14.67,0,0,0,19.22
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,0,0,0,14.7
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Structured Product Series I,0.01,0,0.62,1.29,2.78,2.87,2.9,-80.15,-109.77,-148.73
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,12.22
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Structured Product Series IX,1.35,0,-0.52,-1.03,-2.05,-2.05,-2.05,-2.04,-2.03,-1.52
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,14.89
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Structured Product Series VIII,1.87,0,0,0.55,0.55,0.28,0.82,0.61,0.49,0.08
BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED INP000005208,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,13.87
WealthBridge Capital Advisors Private Limited INP000005240,EQUITY,,,,,,,,,,,
WealthBridge Capital Advisors Private Limited INP000005240,EQUITY,Discretionary Equity focused Portfolio,88.34,6.46,9.12,17.29,6.99,6.86,19.46,20.31,24.45,15.22
WealthBridge Capital Advisors Private Limited INP000005240,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.64,16.21,13,21.06,15.65
Avendus Wealth Management Private Ltd INP000005257,EQUITY,,,,,,,,,,,
Avendus Wealth Management Private Ltd INP000005257,EQUITY,HALO,67.85,3.24,0,0,0,0,0,0,0,4.83
Avendus Wealth Management Private Ltd INP000005257,EQUITY,Benchmark: SandP BSE 500 TR,,4.27,0,0,0,0,0,0,0,5.88
Eklavya Capital Advisors LLP INP000005265,EQUITY,,,,,,,,,,,
Eklavya Capital Advisors LLP INP000005265,EQUITY,Eklavya Equity,4.63199,1.59,0.08,5.55,7.68,0,0,0,0,12.14
Eklavya Capital Advisors LLP INP000005265,EQUITY,Benchmark: NIFTY50(TRI),,4.62,4.15,6.69,7.59,0,0,0,0,8.9
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,,,,,,,,,,,
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Invesco India Caterpillar Portfolio,84.70597,5.25,3.77,12.93,-3.89,19.4,20,13.91,27.94,12.32
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,13.69
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Invesco India Challengers Portfolio,30.76145,2.05,0.13,3.91,0.24,20.56,18.67,12.63,0,13.72
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,0,12.72
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Invesco India DAWN Portfolio,253.59773,2.97,1.65,4.93,-3.46,16.19,14.63,12.1,20.43,10.41
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.47
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Invesco India Large Cap Core Portfolio,3.01394,3.42,2.08,5.14,2.75,19.12,14.23,8.36,15.21,9.59
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Benchmark: NSE Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,15.31
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Invesco India RISE Portfolio,351.92848,5.54,5.61,15.62,8.83,21.25,20.72,15.09,20.04,14.54
Invesco Asset Management (India) Private Limited INP000005273,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.76
Varanium Capital Advisors Private Limited INP000005281,EQUITY,,,,,,,,,,,
Varanium Capital Advisors Private Limited INP000005281,EQUITY,Alpha Portfolio,10.21,4.24,9.07,11.42,507.09,217.16,130.1,94.07,86.28,25.39
Varanium Capital Advisors Private Limited INP000005281,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.53,13.91,11.17,18.58,12.28
Varanium Capital Advisors Private Limited INP000005281,EQUITY,VARANIUM G2G INDIA PORTFOLIO,51.71,4.21,3.57,8.81,2.94,22.56,19.7,13.84,21.6,17.13
Varanium Capital Advisors Private Limited INP000005281,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.53,13.91,11.17,18.58,14.87
New Berry Capitals Pvt. Ltd. INP000005323,EQUITY,,,,,,,,,,,
New Berry Capitals Pvt. Ltd. INP000005323,EQUITY,SEEKING ALPHA,8.43481,6.39,5.52,14.93,8.49,24.52,31,35.29,29.3,6.77
New Berry Capitals Pvt. Ltd. INP000005323,EQUITY,Benchmark: MSEISX40(TRI),,4.09,3.12,5.14,4.64,14.87,10.88,8.59,15.77,12.82
SAVVY CAPITAL ADVISORS LLP INP000005331,EQUITY,,,,,,,,,,,
SAVVY CAPITAL ADVISORS LLP INP000005331,EQUITY,SAVVY DEFAULT,776.83,1.5,-0.39,7.57,-9.1,18.42,35.45,20.58,40.47,24.91
SAVVY CAPITAL ADVISORS LLP INP000005331,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.64,16.21,13,21.06,14.89
Escorp Asset Management Limited INP000005372,EQUITY,,,,,,,,,,,
Escorp Asset Management Limited INP000005372,EQUITY,ESCORP ASSET MANAGEMENT LTD,6.25539,-0.06,-0.36,4.45,2.8,5.66,13.42,24.58,30.32,20.64
Escorp Asset Management Limited INP000005372,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.09
Clubmillionaire Financial Services Private Limited INP000005380,EQUITY,,,,,,,,,,,
Clubmillionaire Financial Services Private Limited INP000005380,EQUITY,ALL-STAR PORTFOLIO,3338.86,1.4,2.19,5.93,13.46,19.18,15.04,9.38,16.62,17.2
Clubmillionaire Financial Services Private Limited INP000005380,EQUITY,Benchmark: BSE500-TR,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.45
SEERS FUND MANAGEMENT PRIVATE LIMITED INP000005398,EQUITY,,,,,,,,,,,
SEERS FUND MANAGEMENT PRIVATE LIMITED INP000005398,EQUITY,SEERS DECADE OF INDIA,37.48,4.3,6.45,21.07,1.83,0,0,0,0,2.06
SEERS FUND MANAGEMENT PRIVATE LIMITED INP000005398,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,0,0,0,0,4.38
SEERS FUND MANAGEMENT PRIVATE LIMITED INP000005398,EQUITY,SEERS ENDURING PORTFOLIO {SEP},397.48,4.41,3.69,16.39,-5.09,23.42,35.33,31.03,49.08,23.55
SEERS FUND MANAGEMENT PRIVATE LIMITED INP000005398,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.53,13.91,11.17,18.58,14
Negen Capital Services Private Limited INP000005414,EQUITY,,,,,,,,,,,
Negen Capital Services Private Limited INP000005414,EQUITY,Negen Special Situations and Technology Fund,1319.39439,4.93,-0.14,17.74,4.92,25.69,26.53,20.86,37.66,18.76
Negen Capital Services Private Limited INP000005414,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.35
Paterson Securities Private Ltd INP000005422,EQUITY,,,,,,,,,,,
Paterson Securities Private Ltd INP000005422,EQUITY,DELTA FUND,19.27,3.04,3.92,8.84,3.43,0,0,0,0,5.63
Paterson Securities Private Ltd INP000005422,EQUITY,Benchmark: Nifty MidSmall 400,,4.41,2.42,10.36,2.64,0,0,0,0,8.12
Paterson Securities Private Ltd INP000005422,EQUITY,PATERSON ADVANTAGE,3.27,3.96,0.23,0.91,-8.33,0,0,0,0,-9.35
Paterson Securities Private Ltd INP000005422,EQUITY,Benchmark: NIFTY LARGEMIDCAP 250_TRI,,4.57,3.77,9.21,6.47,0,0,0,0,1.88
Paterson Securities Private Ltd INP000005422,EQUITY,PATERSON CUSTOMISED PORTFOLIO,89.19,3.57,3.07,7.38,-6.18,0,0,0,0,-17.01
Paterson Securities Private Ltd INP000005422,EQUITY,Benchmark: NSE NIFTY 500_TOTAL RETURNS INDEX,,4.37,3.73,8.42,5.56,0,0,0,0,0
Paterson Securities Private Ltd INP000005422,EQUITY,PATERSON LEADERSHIP,4.16,3.83,1.33,9.88,3.73,0,0,0,0,4.76
Paterson Securities Private Ltd INP000005422,EQUITY,Benchmark: NSE NIFTY 500_TOTAL RETURNS INDEX,,4.37,3.73,8.42,5.56,0,0,0,0,-1.98
